,gutenberg_id,title
0,174,The Picture of Dorian Gray
1,345,Dracula
2,844,The Importance of Being Earnest: A Trivial Comedy for Serious People
3,110,Tess of the d'Urbervilles: A Pure Woman
4,219,Heart of Darkness
5,209,The Turn of the Screw
6,160,"The Awakening, and Selected Short Stories"
7,153,Jude the Obscure
8,8387,Hunger
9,73,The Red Badge of Courage: An Episode of the American Civil War
10,7118,What Maisie Knew
11,236,The Jungle Book
12,1756,Uncle Vanya: Scenes from Country Life in Four Acts
13,1254,Cyrano de Bergerac
14,375,An Occurrence at Owl Creek Bridge
15,8492,The King in Yellow
16,885,An Ideal Husband
17,66048,The Interpretation of Dreams
18,4093,Hedda Gabler
19,42704,Salomé: A Tragedy in One Act
20,854,A Woman of No Importance
21,215,The Call of the Wild
22,7433,The Awkward Age
23,790,Lady Windermere's Fan
24,4313,The Odd Women
25,833,The Theory of the Leisure Class
26,2853,Quo Vadis: A Narrative of the Time of Nero
27,1709,New Grub Street
28,3623,The Golden Bough: A Study of Magic and Religion
29,102,The Tragedy of Pudd'nhead Wilson
30,7214,Pan
31,165,McTeague: A Story of San Francisco
32,10743,Moonfleet
33,720,Almayer's Folly: A Story of an Eastern River
34,1017,The Soul of Man under Socialism
35,2186,"""Captains Courageous"": A Story of the Grand Banks"
36,1938,Resurrection
37,389,The Great God Pan
38,447,Maggie: A Girl of the Streets
39,1937,The Second Jungle Book
40,3261,"News from Nowhere; Or, An Epoch of Rest: Being Some Chapters from a Utopian Romance"
41,39858,Trilby
42,57038,The Monomaniac (La bête humaine)
43,1327,Elizabeth and Her German Garden
44,4070,The Master Builder
45,416,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life"
46,93,"Tom Sawyer, Detective"
47,35517,"The Three Impostors; or, The Transmutations"
48,4366,Can Such Things Be?
49,24096,En Route
50,36378,Ancient Manners; Also Known As Aphrodite
51,910,White Fang
52,5164,The Beetle: A Mystery
53,1144,In the Cage
54,3047,Life's Little Ironies: A set of tales with some colloquial sketches entitled A Few Crusted Characters
55,3326,The Well-Beloved: A Sketch of a Temperament
56,91,Tom Sawyer Abroad
57,3055,The Wood Beyond the World
58,1640,Lilith: A Romance
59,1057,"Poems, with The Ballad of Reading Gaol"
60,13505,The Duel and Other Stories
61,986,Master and Man
62,351,Of Human Bondage
63,8449,A Traveler from Altruria: Romance
64,33325,The Spoils of Poynton
65,61686,So Big
66,921,De Profundis
67,773,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories"
68,21415,"The Young Visiters or, Mr. Salteena's Plan"
69,27424,Cautionary Tales for Children
70,13416,The Darling and Other Stories
71,53849,The Symbolist Movement in Literature
72,1607,A Journey in Other Worlds: A Romance of the Future
73,10339,An Antarctic Mystery
74,56562,Kidnapped (Illustrated): Being Memoirs of the Adventures of David Balfour in the Year 1751
75,367,The Country of the Pointed Firs
76,21617,That Affair Next Door
77,53341,The Dorrington Deed-Box
78,26460,English Fairy Tales
79,23172,"The Damned Thing: 1898, From ""In the Midst of Life"""
80,43302,"""The Kingdom of God Is Within You"": Christianity Not as a Mystic Religion but as a New Theory of Life"
81,28164,The Big Bow Mystery
82,36540,Myths and Folk Tales of Ireland
83,2565,The Story of the Glittering Plain: Which Has Been Also Called the Land of Living Men or the Acre of the Undying
84,14977,The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States
85,642,The Altar of the Dead
86,329,Island Nights' Entertainments
87,1032,The Pupil
88,48795,Sylvie and Bruno Concluded (Illustrated)
89,12352,"Iola Leroy; Or, Shadows Uplifted"
90,8157,Esther Waters
91,22210,"In the Forbidden Land: An account of a journey in Tibet, capture by the Tibetan authorities, imprisonment, torture and ultimate release"
92,13505,The Duel and Other Stories
93,5658,Lord Jim
94,63025,A Night in Acadie
95,46650,Bayou Folk
96,23810,At Fault
97,169,The Well at the World's End: A Tale
98,45524,The Open Boat and Other Stories
99,56799,The Downfall (La Débâcle): A Story of the Horrors of War
100,10012,The Mountains of California
101,3179,The American Claimant
102,38602,The Monk and the Hangman's Daughter
103,16517,Liza of Lambeth
104,14885,Red Pottage
105,2895,Following the Equator: A Journey Around the World
106,1557,Men of Iron
107,27175,The Bad Child's Book of Beasts
108,14658,The Road
109,4540,In His Steps
110,20085,The Tragic Muse
111,7303,Equality
112,45524,The Open Boat and Other Stories
113,26305,"Yes, Virginia, There Is A Santa Claus"
114,1655,The God of His Fathers: Tales of the Klondyke
115,34181,Irene Iddesleigh
116,16507,"Lazy Thoughts of a Lazy Girl: Sister of that ""Idle Fellow."""
117,128,The Arabian Nights Entertainments
118,215,The Call of the Wild
119,284,The House of Mirth
120,64317,The Great Gatsby
121,289,The Wind in the Willows
122,140,The Jungle
123,17396,The Secret Garden
124,146,A Little Princess: Being the whole story of Sara Crewe now told for the first time
125,910,White Fang
126,175,The Phantom of the Opera
127,60,The Scarlet Pimpernel
128,4300,Ulysses
129,2226,Kim
130,26298,The Metamorphosis
131,233,Sister Carrie: A Novel
132,5658,Lord Jim
133,219,Heart of Darkness
134,4517,Ethan Frome
135,432,The Ambassadors
136,67138,The Sun Also Rises
137,974,The Secret Agent: A Simple Tale
138,7256,The Gift of the Magi
139,4217,A Portrait of the Artist as a Young Man
140,541,The Age of Innocence
141,7849,The Trial
142,2500,Siddhartha
143,14838,The Tale of Peter Rabbit
144,2397,"The Story of My Life: With her letters (1887-1901) and a supplementary account of her education, including passages from the reports and letters of her teacher, Anne Mansfield Sullivan, by John Albert Macy"
145,5247,The Old Wives' Tale
146,498,Rebecca of Sunnybrook Farm
147,2084,The Way of All Flesh
