,gutenberg_id,title,goodreads_title
0,12352,"Iola Leroy; Or, Shadows Uplifted",Iola Leroy
1,8157,Esther Waters,Esther Waters
2,13505,The Duel and Other Stories,The Duel and Other Stories
3,5658,Lord Jim,Lord Jim
4,63025,A Night in Acadie,A Night In Acadie
5,46650,Bayou Folk,Bayou folk
6,23810,At Fault,At Fault
7,169,The Well at the World's End: A Tale,The Well at the World's End
8,45524,The Open Boat and Other Stories,The Open Boat
9,56799,The Downfall (La Débâcle): A Story of the Horrors of War,La Débâcle
10,3179,The American Claimant,The American Claimant
11,38602,The Monk and the Hangman's Daughter,The Monk and the Hangman's Daughter
12,16517,Liza of Lambeth,Liza of Lambeth
13,14885,Red Pottage,Red Pottage
14,1557,Men of Iron,Men of Iron
15,4540,In His Steps,In His Steps
16,20085,The Tragic Muse,The Tragic Muse
17,7303,Equality,Equality
18,45524,The Open Boat and Other Stories,The Open Boat and Other Stories
19,1655,The God of His Fathers: Tales of the Klondyke,The God of His Fathers
20,34181,Irene Iddesleigh,Irene Iddesleigh
21,215,The Call of the Wild,The Call of the Wild
22,284,The House of Mirth,The House of Mirth
23,64317,The Great Gatsby,The Great Gatsby
24,289,The Wind in the Willows,The Wind in the Willows
25,140,The Jungle,The Jungle
26,17396,The Secret Garden,The Secret Garden
27,146,A Little Princess: Being the whole story of Sara Crewe now told for the first time,A Little Princess
28,910,White Fang,White Fang
29,175,The Phantom of the Opera,The Phantom of the Opera
30,60,The Scarlet Pimpernel,The Scarlet Pimpernel
31,4300,Ulysses,Ulysses
32,2226,Kim,Kim
33,26298,The Metamorphosis,The Metamorphosis
34,233,Sister Carrie: A Novel,Sister Carrie
35,5658,Lord Jim,Lord Jim
36,219,Heart of Darkness,Heart of Darkness
37,4517,Ethan Frome,Ethan Frome
38,432,The Ambassadors,The Ambassadors
39,67138,The Sun Also Rises,The Sun Also Rises
40,974,The Secret Agent: A Simple Tale,The Secret Agent
41,7256,The Gift of the Magi,The Gift of the Magi
42,4217,A Portrait of the Artist as a Young Man,A Portrait of the Artist as a Young Man
43,541,The Age of Innocence,The Age of Innocence
44,7849,The Trial,The Trial
45,2500,Siddhartha,Siddhartha
46,14838,The Tale of Peter Rabbit,The Tale of Peter Rabbit
47,5247,The Old Wives' Tale,The Old Wives' Tale
48,498,Rebecca of Sunnybrook Farm,Rebecca of Sunnybrook Farm
49,2084,The Way of All Flesh,The Way of All Flesh
50,1874,The Railway Children,The Railway Children
51,1056,Martin Eden,Martin Eden
52,2781,Just So Stories,Just So Stories
53,2814,Dubliners,Dubliners
54,351,Of Human Bondage,Of Human Bondage
55,2775,The Good Soldier,The Good Soldier
56,805,This Side of Paradise,This Side of Paradise
57,4397,The Forsyte Saga - Complete,The Forsyte Saga 
58,2021,Nostromo: A Tale of the Seaboard,Nostromo
59,14257,The Magician,The Magician
60,1164,The Iron Heel,The Iron Heel
61,4264,The Golden Bowl — Complete,The Golden Bowl
62,10002,The House on the Borderland,The House on the Borderland
63,543,Main Street,Main Street
64,37189,The Return of the Soldier,The Return of the Soldier
65,66073,Death in Venice,Death in Venice
66,11620,My Brilliant Career,My Brilliant Career
67,65465,The Professor's House,The Professor's House
68,65636,A Lost Lady,A Lost Lady
69,1999,Crome Yellow,Crome Yellow
70,4368,Flappers and Philosophers,Flappers and Philosophers
71,68061,Lud-in-the-Mist,Lud-in-the-Mist
72,69683,Men without women,Men Without Women
73,63849,Bambi,Bambi
74,61077,The King of Elfland's Daughter,The King of Elfland's Daughter
75,29220,Monday or Tuesday,Monday or Tuesday
76,60483,Antic Hay,Antic Hay
77,980,Alice Adams,Alice Adams
78,1250,Anthem,Anthem
79,68811,"Black no more: Being an account of the strange and wonderful workings of science in the land of the free, A.D. 1933-1940",Black No More
